# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

p 2 10 704 206 13365 1285
p 2 8 696 216 12376 1266
p 2 0 712 208 11889 1264
p 2 1 708 211 11676 1235
p 2 0 724 196 12407 1270
p 2 4 709 207 12115 1272
p 2 1 713 206 11973 1247
p 2 3 709 208 12002 1235
p 2 8 705 207 12384 1275
p 2 8 703 209 11151 1241
p 2 1 721 198 11144 1198
p 2 2 707 211 11090 1254
p 2 4 709 207 12364 1229
p 2 14 695 211 11285 1285
p 2 5 714 201 11265 1233
p 2 0 718 202 10842 1237
p 2 2 714 204 12029 1240
p 2 1 716 203 12483 1247
p 2 8 709 203 11507 1225
p 2 5 703 212 12092 1237
p 2 4 713 203 11664 1188
p 2 9 696 215 11700 1240
p 2 4 709 207 11764 1193
p 2 12 696 212 11618 1226
p 2 0 720 200 11663 1181
p 2 0 705 215 11140 1191
p 2 6 707 207 11369 1216
p 2 3 703 214 12204 1189
p 2 3 711 206 11305 1205
p 2 0 713 207 11850 1220
p 2 2 714 204 12451 1218
p 2 6 705 209 11197 1198
p 2 7 707 206 11754 1172
p 2 3 707 210 12522 1173
p 2 4 711 205 11887 1183
p 2 2 703 215 11790 1151
p 2 8 707 205 11649 1182
p 2 5 710 205 12368 1195
p 2 1 713 206 11848 1166
p 2 5 708 207 12372 1196
p 2 4 715 201 12636 1167
p 2 4 710 206 12575 1169
p 2 4 713 203 13377 1191
p 2 10 702 208 12561 1201
p 2 5 713 202 12884 1191
p 2 6 704 210 12916 1172
p 2 2 712 206 12207 1144
p 2 9 696 215 12522 1165
p 2 2 716 202 12731 1152
p 2 1 709 210 12151 1150
p 2 1 714 205 12279 1142
p 2 0 707 213 12538 1132
p 2 0 720 200 11697 1150
p 2 0 708 212 12639 1142
p 2 2 711 207 12447 1154
p 2 2 705 213 11753 1154
p 2 2 708 210 12536 1146
p 2 4 703 213 12317 1136
p 2 1 713 206 12389 1138
p 2 0 711 209 12403 1121
p 2 0 714 206 11874 1106
p 2 6 705 209 12274 1136
p 2 0 714 206 12243 1138
p 2 0 708 212 11694 1076
p 2 0 717 203 11851 1121
p 2 1 703 216 11779 1098
p 2 0 712 208 12260 1110
p 2 0 701 219 11962 1096
p 2 0 713 207 11976 1097
p 2 0 710 210 12002 1092
p 2 0 709 211 11998 1102
p 2 1 702 217 11438 1087
p 2 1 704 215 11787 1093
p 2 1 690 229 11815 1084
p 2 0 711 209 12292 1101
p 2 0 704 216 10912 1070
p 2 0 696 224 11181 1050
p 2 0 695 225 11746 1104
p 2 0 698 222 11453 1088
p 2 0 698 222 11759 1090
p 2 0 706 214 12306 1092
p 2 0 706 214 11801 1066
p 2 0 703 217 11976 1057
p 2 0 701 219 12783 1062
p 2 0 684 236 11732 1021
p 2 0 679 241 11679 1026
p 2 0 678 242 11051 1020
p 2 0 685 235 11425 1029
p 2 0 678 242 10481 1033
p 2 0 679 241 9836 1018
p 2 0 645 275 10475 996
p 2 0 649 271 10049 967
p 2 0 673 247 9245 1013
p 2 0 631 289 5687 910
p 2 0 632 288 4874 929
p 2 0 608 312 5215 876
p 2 0 635 285 5245 932
p 2 0 577 343 3822 849
p 2 0 578 342 3954 843
p 2 0 587 333 4635 862
p 2 0 570 350 4009 845
p 2 0 532 388 4433 785
p 2 0 564 356 3938 842
p 2 0 519 401 3816 782
p 2 0 573 347 4055 838
p 2 0 582 338 4313 842
p 2 0 529 391 3808 787
p 2 0 614 306 6299 866
p 2 0 555 365 4515 809
p 2 0 522 398 3439 775
p 2 0 549 371 3619 805
p 2 0 536 384 3610 784
p 2 0 543 377 4455 796
p 2 0 508 412 3735 797
p 2 0 561 359 4772 831
p 2 0 506 414 3623 778
p 2 0 603 317 5082 902
i 2 920 0 0 36365 3684
p 2 3 690 227 18009 1273
p 2 0 678 242 14365 1056
p 2 0 686 234 13809 1083
p 2 0 678 242 14270 1086
p 2 0 679 241 13808 1070
p 2 0 694 226 13941 1069
p 2 0 677 243 14036 1064
p 2 0 686 234 13873 1071
p 2 0 698 222 10338 1068
p 2 0 694 226 10291 1063
p 2 0 683 237 10282 1025
p 2 0 688 232 10290 1045
p 2 0 687 233 13883 1062
p 2 0 687 233 13665 1070
p 2 0 693 227 13820 1085
p 2 0 685 235 14144 1097
p 2 0 697 223 13599 1052
p 2 0 691 229 13433 1058
p 2 0 689 231 13959 1078
p 2 0 690 230 13177 1049
p 2 0 687 233 13589 1081
p 2 0 686 234 13488 1074
p 2 0 684 236 13624 1074
p 2 0 683 237 13290 1044
p 2 0 684 236 13368 1062
p 2 0 685 235 14098 1066
p 2 0 690 230 13165 1093
p 2 0 686 234 13330 1077
p 2 0 683 237 9894 1049
p 2 0 697 223 9637 1048
p 2 0 699 221 9635 1053
p 2 0 685 235 10480 1071
p 2 0 689 231 13534 1123
p 2 0 691 229 13603 1102
p 2 0 688 232 13234 1089
p 2 0 691 229 13173 1087
p 2 0 698 222 13202 1106
p 2 0 680 240 12940 1073
p 2 0 691 229 13163 1126
p 2 0 683 237 12935 1098
p 2 0 687 233 12802 1061
p 2 0 688 232 12471 1074
p 2 0 696 224 10079 1079
p 2 0 666 254 9867 1061
p 2 0 689 231 13180 1117
p 2 0 687 233 13710 1119
p 2 0 679 241 12917 1116
p 2 0 689 231 13791 1117
p 2 0 688 232 12928 1096
p 2 0 668 252 14127 1116
p 2 0 678 242 12758 1126
p 2 0 689 231 11887 1083
p 2 0 675 245 12133 1053
p 2 0 681 239 12131 1071
p 2 0 683 237 11781 1046
p 2 0 691 229 12037 1056
p 2 0 684 236 12271 1099
p 2 0 688 232 12221 1084
i 2 920 0 0 16703 3494
p 2 0 721 199 6090 1243
p 2 0 676 244 3539 1032
p 2 0 608 312 2759 912
p 2 0 617 303 2633 941
p 2 0 603 317 2308 904
p 2 22 609 289 4666 1146
p 2 0 602 318 2747 931
p 2 0 592 328 2038 886
p 2 5 619 296 4270 1054
p 2 0 613 307 3164 933
p 2 0 573 347 2062 859
p 2 8 629 283 3824 1098
p 2 0 562 358 1875 849
p 2 0 562 358 1843 866
p 2 34 576 310 4958 1184
p 2 0 590 330 1942 902
p 2 0 535 385 1692 806
p 2 3 640 277 5156 1100
p 2 0 643 277 4076 994
p 2 0 657 263 4081 995
p 2 0 608 312 3951 959
p 2 0 658 262 3891 1017
p 2 0 631 289 4107 1010
p 2 0 677 243 3612 1016
p 2 0 642 278 3531 1008
p 2 0 668 252 3186 1014
p 2 0 634 286 3188 990
p 2 0 658 262 3198 1027
p 2 0 616 304 2764 967
p 2 0 679 241 3202 1046
p 2 0 634 286 3124 985
p 2 0 653 267 3049 1014
p 2 0 644 276 3251 1006
p 2 0 662 258 3168 1038
p 2 0 637 283 2984 983
p 2 0 666 254 3120 1012
p 2 0 640 280 3319 989
p 2 0 671 249 3205 1032
p 2 0 646 274 3417 1011
p 2 0 668 252 3468 1024
p 2 0 641 279 3564 989
p 2 20 656 244 8088 1245
p 2 0 644 276 4243 1037
p 2 0 687 233 4296 1052
p 2 7 640 273 7814 1177
p 2 0 678 242 4699 1082
p 2 0 657 263 4822 1031
p 2 8 672 240 8726 1189
p 2 0 662 258 4875 1044
p 2 0 680 240 4902 1067
p 2 34 641 245 11057 1322
p 2 0 675 245 4899 1062
p 2 0 650 270 4627 1016
p 2 7 648 265 8785 1157
p 2 0 610 310 2519 926
p 2 0 589 331 1948 881
p 2 0 574 346 2473 855
p 2 0 551 369 1711 827
p 2 0 519 401 1570 777
p 2 0 570 350 2357 843
p 2 0 507 413 1540 766
p 2 0 526 394 2029 783
p 2 0 510 410 1929 782
p 2 0 560 360 2241 844
p 2 0 553 367 2383 837
i 2 920 0 0 26940 3503
p 2 0 612 308 11045 1056
p 2 0 549 371 3989 843
p 2 0 530 390 3003 785
p 2 0 513 407 2535 772
p 2 0 534 386 4506 825
p 2 0 513 407 2732 779
p 2 0 511 409 2439 756
p 2 0 479 441 2446 720
p 2 0 507 413 4272 782
p 2 0 500 420 5541 783
p 2 0 488 432 3577 741
p 2 0 473 447 1980 725
p 2 0 458 462 2135 700
p 2 0 420 500 1739 646
p 2 0 459 461 1926 705
p 2 0 414 506 1678 651
p 2 0 462 458 2476 683
p 2 0 445 475 1569 679
p 2 0 433 487 1775 671
p 2 0 445 475 1964 667
p 2 0 454 466 2415 706
p 2 0 359 561 1173 589
p 2 0 479 441 2985 735
p 2 0 448 472 1797 674
p 2 0 427 493 1486 665
p 2 0 375 545 1414 603
p 2 0 470 450 3420 731
p 2 0 409 511 1718 647
p 2 0 469 451 3384 712
p 2 0 408 512 1434 640
p 2 0 371 549 1311 599
p 2 0 301 619 964 522
p 2 0 373 547 1243 606
p 2 0 340 580 960 560
p 2 0 335 585 1011 548
p 2 0 332 588 1047 560
p 2 0 357 563 1055 580
